Iteration	SimID	Obj	Parmaters
0	1	[-4.0960097719197002]	@[-1.388588627978447, -14.255058739617017, 4.594350349836437, -6.931733535020236, -5.404324344905334, 7.327977403921744, -13.519754817391522, 12.331499265415603, 10.052346508796887, -4.830386912418506]
0	3	[-3.422607479806584]	@[4.076386376948094, 17.026513997599373, 16.988433106217926, 2.297106955903347, -8.416142411313684, 13.441337984802242, -4.84502875821551, -7.499379317516125, 2.156335981685151, -14.741898101390639]
0	2	[-3.0915626296540646]	@[-11.401860971334933, 1.7337582958717535, 1.8942219248582197, 14.086853284288525, 18.41614064054989, -14.562709931596267, 10.96116125930449, -0.9796354492975903, -11.092525488912598, 18.0686557973277]
1	0	[-3.1850033288573556]	@[-2.229267786344722, -14.255058739617017, 19.15776356101474, 3.185380556972878, 6.866729313913797, -1.5032715155200416, 16.380809957943995, 6.345675194721528, 12.212993046050926, 8.54568192489694]
1	1	[-2.558596424413607]	@[19.16302012206372, 4.669401123794215, -8.937082419893754, 3.6373619876214787, 18.649879602038254, 14.299482162617503, 0.6499420947452013, 18.17622177318117, -1.824794741635296, 14.704425922159345]
1	2	[-4.5283976434837747]	@[17.035210321808293, 1.7337582958717535, 1.8942219248582197, 1.7935808406260823, 3.6788363120556244, -3.465009776469734, 10.96116125930449, 6.384356298826059, 16.27268557674885, 2.3217357002944263]
1	3	[-3.7914706329459422]	@[-10.365137312182128, 0.07835691117314347, 2.1737795884209365, 11.910694932619197, 15.949889970874759, -12.296258695911519, -4.84502875821551, -7.499379317516125, -8.903292207514106, 15.69780453760987]
2	0	[-4.4223170439242443]	@[17.03451776069309, 1.7337582958717535, 3.4337268770363396, -10.19037451378364, -9.902637616759323, 9.016182320859745, 5.443956829767192, 6.384356298826059, 4.231862379305072, -10.73438019614741]
2	1	[-6.1245881218293317]	@[-10.601432296015142, 4.669401123794215, 3.4337268770363396, 2.8012888323063034, 4.7278728498430596, -4.711518379774589, 5.443956829767192, 5.697506147979411, 6.462239840342427, -10.73438019614741]

2	3	[-4.44065176831079]	@[-10.365137312182128, 0.07835691117314347, 2.1737795884209365, 7.342959898135356, 9.45580884916235, -10.32944748590114, 11.91460132174845, 2.6019194478488816, -1.0635919493562325, 15.69780453760987]
3	0	[-4.6911511815231925]	@[12.876172146645985, -1.8041567791258517, 2.072023133703059, 7.375117517291859, 10.595312862049123, -9.081764164367812, 5.578675698044384, 12.331499265415603, 8.565221880341706, -4.830386912418506]
